,dia,Net_Revenue_IN_2024,Net_Revenue_IN_2025
52,1,452.030531001528,533.1689488416166
53,2,1035.4970504383741,1080.9506563508905
54,3,886.5028749727132,1009.950988465716
55,4,914.3050240848828,906.8500916002624
56,5,439.1850842688745,743.5632921719526
57,6,370.2796066303464,680.8831295926841
58,7,934.6552952770982,906.7241238629866
59,8,258.4679995417017,522.2818155635227
60,9,213.61191348971,399.86804317869746
61,10,278.12914261354615,382.581605279708
62,11,477.47581809012024,584.9634936712877
63,12,375.8370034558891,648.5850945361217
64,13,754.5763471478293,851.5167924576442
65,14,543.2478709246736,773.0839594916267
66,15,852.7401551064899,870.7990112168338
67,16,421.4720172388605,695.9706765973891
68,17,191.11121497086378,582.1931420220769
69,18,1008.3820114645887,926.053779561007
70,19,732.2072077542059,1004.4152229609019
71,20,400.04075205405354,672.2250283375363
72,21,639.633333160906,921.1729804815996
73,22,413.777402488365,390.61251227906996
74,23,107.00144516301259,465.7803472557304
75,24,717.4882478923627,1113.3654245673192
76,25,152.4556376491198,578.1947936691239
77,26,367.04093438614177,736.8094416056266
78,27,726.9424972835326,866.316838864375
79,28,609.5204555563053,785.7673552854852
80,29,523.7232288341183,792.5202814548186
81,30,28.30198355636037,163.45772985871804
82,31,222.18118743703747,274.6871028850883
83,32,929.3618485640236,1026.3590942739322
84,33,456.916655742469,756.7761229188727
85,34,920.4421366866197,1038.064395915177
86,35,1140.3771374786195,1140.6787476997313
87,36,909.4198672545061,1003.920942431032
88,37,476.4779815743593,517.5728270565933
89,38,983.9017649697415,970.2004411650203
90,39,809.1397831743092,844.8964478545041
91,40,275.35897737227344,619.6453645714305
92,41,594.6947207305125,868.6797636306351
93,42,309.2129973200207,388.9273032805097
94,43,426.97732425299625,183.7056866239019
95,44,-221.23246611219042,-38.877995384983365
96,45,659.1149554928486,397.9948924520762
97,46,442.04099967265466,432.9175804189689
98,47,679.6204555025178,686.4258382890371
99,48,623.343382067653,620.1161128907318
100,49,260.2332714243031,373.6769309542982
101,50,976.5692048881726,1003.4792618860093
102,51,211.12800899438355,415.95286910262655
103,52,762.3079084118599,831.828495629772
104,53,1273.0282196093708,1258.903964116087
105,54,627.1153544262929,658.3001037906108
106,55,1011.7462390766581,923.3803265054333
107,56,3.0956448443060935,24.06312131213167
108,57,1677.4848374870962,1655.794005983459
109,58,1073.2955836427075,1051.78046456589
110,59,451.0785211964637,764.8283539941413
111,60,-4.857394842683675,41.88937016798616
112,61,437.56808614749787,624.0778346759932
113,62,711.5040338834494,736.4112767325106
114,63,511.376193348125,494.0721918578063
115,64,672.6983915142125,712.1167668682286
116,65,319.71307913424596,737.223968301899
117,66,111.01844815639436,108.5460285292811
118,67,-333.34620376106,-217.778346715927
119,68,131.3578563210698,226.8404341130563
120,69,62.441162204483135,241.56106470206373
121,70,393.63817391958446,488.33468305155543
122,71,406.61399072051756,404.20725454143167
123,72,1191.8194009272968,1149.226011228723
124,73,-145.37882879393032,-35.044827473195596
125,74,-299.14757306513,-157.04538939390613
126,75,-251.6970744968046,-229.6396479143059
127,76,848.3456865098251,888.244879565487
128,77,279.4221517173195,280.23069855985716
129,78,-66.98870994767958,-44.64759594719828
130,79,579.7692302586502,539.0564482212907
131,80,588.6605750366587,721.5581469079058
132,81,677.7242034583807,610.1696787679052
133,82,829.8556289980065,833.200628764116
134,83,1911.1244047002529,1832.6146724804878
135,84,1814.809914100112,1782.0670577098645
136,85,1675.9620959010022,1539.0884129532615
137,86,1407.7968268163008,1492.76361060212
138,87,104.94387580177352,147.92637387185425
139,88,-416.2874156644573,-189.1157444829896
140,89,8.813184619852791,158.96730776485538
141,90,445.8581286578301,335.1419590516168
142,91,431.5507552075218,433.93309957780804
143,92,772.2530087805337,698.7390894390389
144,93,642.3086285013453,777.932606311138
145,94,935.790783936309,1007.3823132469375
146,95,836.2576689127976,794.6617275128431
147,96,1523.6711504127034,1195.0307949402177
148,97,1281.970745646736,1419.7111518708289
149,98,421.22708205760597,392.4959707484272
150,99,427.00968264348217,466.5341276361525
151,100,562.210701129578,547.4932314355706
152,101,413.91382344439944,633.3373253706259
153,102,596.8695617894625,659.7975307719926
154,103,654.9283092351632,716.1391027923221
155,104,1596.5729416998183,1650.0919303093146
156,105,1448.9834277473701,1401.6224232097454
157,106,528.860946554749,421.1666934936279
158,107,125.45023669772081,285.6741944513028
159,108,732.5241714705065,710.084858729472
160,109,416.6902292957983,375.6693546739432
161,110,1379.0224425595375,1312.0737541636056
162,111,546.3534827915328,609.3752935772975
163,112,1348.4798003805272,964.2116630537824
164,113,723.5264207891258,705.2966034595122
165,114,1989.8389757278642,1909.9415659584256
166,115,2486.739932746599,2467.9146255329397
167,116,536.8723815302444,551.8666537647047
168,117,-247.7402927737969,-14.629781251011991
169,118,577.4877898043172,616.5996207558086
170,119,373.65447452338935,443.95592521469047
171,120,584.3345006620102,700.8971616638415
172,121,388.3914465736459,536.0047651084712
173,122,1763.923626677903,1633.2675463437636
174,123,1478.7506778747893,1410.3743246820513
175,124,729.7375550215199,734.507033090805
176,125,2612.951386846087,2696.0616727535253
177,126,732.8031393664945,892.110866833119
178,127,981.4887242253494,947.4712837176568
179,128,573.6662632860837,690.4297364088254
180,129,340.61584945147456,322.8805373897052
181,130,984.6306473214422,850.8700653324147
182,131,352.0506182844273,359.09467832013365
183,132,646.0164763746891,665.757100441565
184,133,1286.4468040943457,1329.3461114783815
185,134,505.0911426742764,505.7775208607951
186,135,1442.4785968969732,1527.5511934286649
187,136,856.1736079812486,881.5003032309114
188,137,955.6968364685742,916.9282369633296
189,138,1647.0284521907874,1668.6167632022648
190,139,824.7954773921851,845.5851476634152
191,140,1404.4515232261508,1315.9758305715868
192,141,949.6699680645607,856.6436805606122
193,142,179.69898564842185,254.50847261350611
194,143,755.4110181790983,851.6213822249889
195,144,1012.4869644589946,1094.0119755271085
196,145,1040.6729122917052,1156.76541584552
197,146,394.5185083458782,311.09841469496325
198,147,1197.7614908071864,1176.5145574413295
199,148,184.08270996401814,475.056712927959
200,149,-37.78876509845088,119.67431472228043
201,150,-32.798593026778576,263.2710391931503
202,151,103.86531650669065,237.37934486999075
203,152,1354.0158416905708,1327.2199760655585
204,153,482.7760179576679,556.1861733043656
205,154,458.6868918200931,268.01854935229505
206,155,335.5042534104317,426.3711413691158
207,156,72.62173229368398,401.0402674181564
208,157,516.5692902590256,515.8440234387646
209,158,295.4919715436108,294.17279474114343
210,159,428.2119652848834,453.5018064850496
211,160,264.319284578992,382.03409830531655
212,161,374.9672614183794,442.2916589757386
213,162,513.5536589233759,558.3903631380724
214,163,1161.8379091212514,1231.1881695801349
215,164,1272.173813788571,1181.761265447463
216,165,-16.1825452716364,128.2090939516562
217,166,46.21558436936584,212.8183241592808
218,167,775.5162534680858,859.0499246935387
219,168,-202.16683800105693,-80.51874298762107
220,169,75.06975687550084,279.77805854039013
221,170,-64.3561454680256,37.63377108012389
222,171,380.99029198081803,518.7568741408799
223,172,274.29590245663167,160.96244606714117
224,173,1087.4695864087087,830.306646632693
225,174,-426.5798517499004,-274.9317623588663
226,175,2596.9032385644055,2387.455967911299
227,176,314.4155611524719,334.21382534354495
228,177,105.31928936869951,312.4092264151051
229,178,561.2510403149929,675.8816491606524
230,179,604.9285256214465,522.8921316859787
231,180,496.2677588233319,431.170687022393
232,181,494.4193028337944,502.5205750117187
233,182,773.618335077772,744.3710209497739
234,183,1043.900110996116,996.3750661361526
235,184,-28.895198662466328,152.12001863182616
236,185,745.1287789376045,613.3844039472981
237,186,301.12601961200596,422.17146801236123
238,187,1354.1674392080545,1500.4690788930295
239,188,2898.2477355171586,2831.2879570381324
240,189,1674.4190885748867,1668.6419425769432
241,190,1075.9156208882341,1134.7677974744724
242,191,1517.0455854963943,1353.1699248713696
243,192,1172.6534169464246,1148.7822765997623
244,193,843.2721941078779,846.630369671324
245,194,1138.8358335057833,1136.462049695432
246,195,817.3073446932669,808.274621486539
247,196,1044.0280543086074,1008.7837508333513
248,197,1122.0003630321694,1037.835046827832
249,198,726.7366185869395,736.889297932493
250,199,1224.7721337559435,1257.2654403584102
251,200,472.9069270030566,509.19155867003076
252,201,740.5400383674483,758.3754713821646
253,202,1975.7958307419342,1887.4399428042207
254,203,2205.82765515991,1962.2372519039857
255,204,2601.6208778384944,2578.6216635885894
256,205,2607.518547093834,2115.998893672943
257,206,2240.8253571109644,2039.3279163157079
258,207,2629.8978089632133,2644.085143850818
259,208,1895.2624279714319,1839.483137082313
260,209,1191.1326346126868,1107.0320223683857
261,210,1179.4450394665669,1632.5378378777136
262,211,1729.9037583664992,1781.0156201785162
263,212,436.6831667945569,439.116466263183
264,213,2652.996686192674,2625.5961523858523
265,214,2282.971251732809,2481.734323846435
266,215,1934.513730428157,2468.4793900121726
267,216,1933.4524201210895,2003.4478370806028
268,217,1719.1433348725793,2261.2815388393005
269,218,1746.8296182382396,2084.95109310242
270,219,1761.0243635299728,1617.3027527264153
271,220,1844.3387699653103,1908.9940331752382
272,221,2018.290103865947,2217.930052053587
273,222,1468.0944766491293,1550.2241039392788
274,223,1348.7196246273334,1526.051702731857
275,224,658.4403475757282,674.9511484143043
276,225,2413.5508176476947,2114.9820052845052
277,226,2286.0779072770597,1815.5566113516365
278,227,2103.7629126797683,1558.5766211742666
279,228,1350.3580934157558,1383.978437826597
280,229,1380.905740799423,1509.9731958004077
281,230,2524.498355328781,2521.3464172523095
282,231,2280.2146525074404,2512.765150209945
283,232,2849.3056544964365,2744.0074966277484
284,233,800.7028853190303,750.8124000828739
285,234,1738.973692570905,1675.5350523550237
286,235,1506.9353480779575,1922.1465374725067
287,236,1501.5950838722388,1570.2081622221594
288,237,1741.217049628679,1809.4908471650056
289,238,1628.528063652036,1730.4974701879776
290,239,1996.6643546228258,2099.0600900461013
291,240,1546.6031857258204,1511.0924502904754
292,241,2003.437192387186,1857.2762263633517
293,242,565.5862841300341,499.38575223367394
294,243,1206.4974864398143,1197.1491152512142
295,244,1259.7572570752832,1266.3559343029897
296,245,2227.785742364374,2230.230768600619
297,246,2149.004215928231,2134.783775464177
298,247,1035.2497401992443,1007.2082507868031
299,248,1522.57147408409,1586.8416966975442
300,249,1345.0390475909276,1388.0107299923247
301,250,2916.93472885886,2742.890170777084
302,251,2744.2480165111465,2932.8596868958502
303,252,2494.413937961218,1914.1967498231406
304,253,1747.0721128162497,1465.342444010958
305,254,752.3164402983064,824.1260606036188
306,255,1204.1539117304865,1266.3025641716567
307,256,1532.1360808130999,1475.6448067863234
308,257,995.1389675281065,1027.5889040171703
309,258,1930.6952914697138,1631.1393449356324
310,259,1706.6539661869679,1172.3815708145066
311,260,1524.050859578018,996.1148284856314
312,262,1753.3444042452475,1821.1927501197529
313,263,1515.085652697419,1398.0142095857238
314,264,2084.436488961748,1922.1148625999592
315,265,1583.5671489037231,1519.3855083055341
316,266,2057.860820004229,1800.1996239556638
317,267,1361.7902840890333,1401.366060734148
0,307,318.3524309430726,324.9002440823226
1,308,318.3524309430726,324.21664999184486
2,309,318.3524309430726,324.21664999184486
3,310,318.3524309430726,324.21664999184486
4,312,318.3524309430726,323.3813469984822
5,313,318.3524309430726,324.21664999184486
6,314,318.3524309430726,324.21664999184486
7,315,318.3524309430726,324.21664999184486
8,316,318.3524309430726,324.21664999184486
9,317,318.3524309430726,324.21664999184486
10,324,318.3524309430726,324.21664999184486
11,325,318.3524309430726,324.21664999184486
12,326,318.3524309430726,324.21664999184486
13,327,355.98865172355204,324.1827783014629
14,328,1918.821868099797,1995.0954513227716
15,329,682.5044165572992,527.6866955679786
16,330,1024.4013229891177,1003.8567564889989
17,331,1032.9612392825302,1120.330026964327
18,332,1204.9310056116572,1196.9214416702498
19,333,1333.319148435121,1332.1969052860554
20,334,1304.581649809712,1304.2199621477162
21,335,1223.4324453643037,1290.353212817281
22,336,1233.7629565748398,1250.7200080542668
23,337,762.8489009676443,692.3074810102883
24,338,591.2342617439735,868.287675332473
25,339,1289.1564296263946,1260.7886279040729
26,340,429.97677711637715,418.96050640389154
27,341,145.80956530591834,271.48250054885887
28,342,351.49964137831466,333.435142432092
29,343,1158.1256047951697,1283.0355868116794
30,344,813.4394899921248,809.7822262819175
31,345,104.76724022185465,47.17908824472988
32,346,253.23642859207803,156.31165959159114
33,347,769.1301767457935,781.0048898586608
34,348,837.8513706933475,843.0202456772247
35,349,106.45145699242687,151.75401016788283
36,350,278.1306559392584,164.25788866894538
37,351,667.2486694372376,680.5737862622645
38,352,803.3609869310127,766.2258801162741
39,353,115.75070903891049,39.56827847059094
40,354,409.05960347223277,553.7319002860163
41,355,468.17596138062186,549.0243419373572
42,356,334.7956261993347,348.3136041968835
43,357,370.7682713402935,402.670001982759
44,358,338.442620759947,546.596756721032
45,359,212.32835046953426,127.25419302436933
46,360,442.8982487354109,416.538879045011
47,361,767.2270901440736,676.7390484051034
48,362,67.06972326604432,261.29964901454343
49,363,555.3900705130013,547.0979192682075
50,364,-1.0888909169640328,95.2143452239884
51,365,14.635930378936223,115.41009346670876
